x,y,token
-57.30906,-41.594486,Harriet
2.1317356,41.069008,truth
3.7877326,30.932365,spirit
-33.51444,46.24691,King
-32.08815,-45.93119,passed
-54.857567,-10.99233,perhaps
-48.658978,21.823494,sir
-32.899654,36.42325,Not
-3.8013902,38.24652,cause
12.146445,38.524563,sin
-56.38676,-4.7096715,afraid
-53.850704,10.631613,wish
-53.12163,6.1358366,leave
-41.492393,8.152967,got
-39.610634,20.184317,matter
-64.14931,-6.020997,since
-1.5167828,40.003628,walk
-38.580975,-49.058594,evening
-10.412027,-60.020935,"--"""
32.674706,70.60211,commanded
24.362087,-50.02713,eye
-20.142433,44.570217,By
22.93057,17.522617,lay
-0.11876585,60.17627,Therefore
-9.625189,-59.38021,replied
25.221941,39.347042,until
-3.244495,-62.833244,boy
-70.5875,6.379264,John
23.776775,25.713196,fall
-42.688156,-31.65306,family
6.155387,71.04644,36
-32.054184,31.634003,alone
-41.785072,-8.377562,others
-47.066666,19.627228,m
-15.533148,-20.937813,kind
-67.14827,-2.9460588,less
-35.601208,38.575115,true
-6.541324,38.818314,die
-23.58957,47.89561,Is
-52.24146,7.624668,answer
6.0669675,71.57349,35
19.762848,-55.438816,behind
4.7007966,-54.726986,towards
63.277557,22.993383,twenty
61.642326,18.086275,times
-44.799576,38.69953,)
45.244663,38.7655,toward
41.996063,15.383669,tree
-41.315285,-37.03792,hour
45.589138,19.76389,bread
45.518448,19.777237,drink
25.203089,2.6195984,Heaven
63.782505,22.239243,ten
53.284527,-37.449493,black
39.160946,37.93497,midst
12.897938,11.181269,These
41.64108,-48.045975,along
56.98389,-9.276452,waters
56.63258,13.435695,silver
-7.0174193,56.976326,pray
36.187225,45.573364,war
-31.266466,1.4035842,money
3.831158,48.93672,One
-55.445168,-45.247395,Weston
7.1945815,37.739132,bear
-21.681698,49.09132,Do
52.05352,55.151604,second
-31.633377,-8.541892,kept
-51.414562,-8.765551,friends
27.408388,64.588745,Saul
42.117603,60.319084,priests
-0.86615205,-36.955326,large
-54.278522,-41.937634,Lady
-59.90287,1.5701412,feel
-5.5004,-56.936646,MacIan
35.39584,43.43142,mighty
-41.51797,2.1718538,reason
5.367134,22.998083,joy
-21.646633,-9.389149,living
-6.2836843,59.425957,Come
6.1732554,70.92682,37
6.084594,35.442688,wicked
-19.051455,-9.921859,course
45.14191,11.713747,fine
41.94924,15.943623,field
26.270227,-0.063016005,From
-55.420128,9.353969,understand
-49.818554,10.395745,help
10.9705925,48.530743,spoken
-56.489334,-17.098228,person
-60.73356,-22.217756,pleasure
-45.56306,0.8950287,often
-20.300186,46.530235,Or
27.948933,43.65155,returned
24.237305,-58.616806,garden
-67.36445,-11.961701,ready
-29.477892,51.743015,haue
-52.417225,6.7294135,ask
40.09304,40.536037,country
48.07847,25.951195,altar
23.331375,31.429152,dwell
47.200005,25.014284,burnt
-66.84901,-11.646294,able
41.03719,-31.85646,dark
-6.979434,-60.351715,Alice
33.525024,25.426212,broken
45.00184,-48.3703,boat
12.981427,56.397724,written
-22.47959,-46.293026,short
24.50269,37.360172,nations
-8.094509,62.29409,Where
-55.540215,-45.218372,Knightley
35.403305,49.591908,kings
27.926409,-1.2891647,On
6.781171,70.92894,38
14.003165,12.07085,women
19.75166,-53.344254,bed
-13.576645,-38.676445,strange
-55.554024,-45.18886,Elton
-43.71225,6.146753,anything
-55.976406,8.544615,ought
22.03556,-62.03565,table
31.354414,29.481718,laid
-49.060295,40.803047,}
21.38631,67.43846,Jacob
45.41086,15.45189,sweet
38.70511,-55.538937,ran
5.262108,41.778725,strength
0.9495511,-17.466091,itself
2.6373405,40.997997,faith
46.587486,32.02883,congregation
3.2436037,39.1717,judgment
56.071636,-4.7238946,trees
-41.38753,20.97237,?--
-46.439545,-5.17324,business
44.299713,33.899372,gate
41.805004,59.936466,chief
-24.8572,-55.74324,Her
-31.839743,-46.224957,walked
-57.521797,-8.154545,received
-8.854974,43.682213,send
-31.065361,31.356607,meet
-19.111273,44.770847,Yet
-6.1547756,-59.685375,Brown
4.501256,47.16208,Son
5.8500514,43.326653,kingdom
6.785653,70.69395,40
-59.968956,13.057986,glad
12.983917,56.404163,book
2.3421164,42.33977,works
5.369589,34.34603,wise
-40.579487,2.511751,either
45.523266,52.484406,Ham
52.906895,-40.212276,hair
-48.70131,-1.4716125,certainly
-33.3853,37.678505,",)"
33.310555,70.2046,Aaron
39.991673,34.40071,wall
-60.897938,0.11760773,doubt
-52.485928,13.923856,remember
-65.09268,-14.404806,;--
53.355175,-37.065178,red
4.3017125,-56.322918,opened
63.625034,22.241905,six
4.2203174,41.725513,honour
-21.130096,-8.340949,lost
-2.5344453,-55.19223,suddenly
-0.42072263,-61.66522,",--"
-54.21703,12.49835,suppose
3.388707,40.4306,knowledge
26.603176,-50.37015,arm
-45.216484,18.454147,.'
-18.484623,49.909576,Which
47.351696,24.489662,meat
-42.137676,18.359,Here
6.6870203,71.253746,39
-52.34632,11.982759,talk
-45.273106,18.551428,!'
-33.02633,36.45951,Nor
46.304108,25.096998,offer
51.228344,56.949684,month
-0.31444934,-47.680244,hard
-48.560566,-2.4446676,deal
1.4187382,47.904114,praise
46.556515,31.987566,tabernacle
42.826508,16.712997,fruit
-30.702341,-33.866096,point
13.543947,37.672012,seed
52.009525,14.170548,wood
-4.311539,41.048008,seek
-19.032623,-60.73871,lady
-29.462227,-47.21162,immediately
21.3226,8.65561,sound
54.238354,-21.106115,wind
-18.20274,-14.947944,making
2.71741,44.37511,mercy
-45.027935,38.719574,.)
-25.881117,-50.256207,silence
27.5669,-57.044487,top
6.775207,70.74072,41
47.619755,61.903927,Solomon
-34.254692,1.9174726,letter
-0.5074639,36.79546,enemies
7.682318,-8.993375,beyond
40.902252,41.04508,wilderness
-6.0975485,59.361416,Go
21.169615,10.239147,cry
-47.460815,-1.6325265,bad
32.073456,53.041233,daughters
43.91473,40.75894,river
0.58231974,31.438377,become
12.527857,40.929974,delivered
13.257518,5.957483,past
45.394424,18.950083,wine
-59.732674,16.39989,read
36.750847,30.179787,places
40.53271,43.70185,gathered
-44.00025,19.775707,ve
43.98121,44.76623,mount
-9.327438,-56.05471,continued
18.803429,65.02199,lord
-56.1482,-43.83716,Woodhouse
40.891018,-21.331224,deep
52.26363,14.410704,stone
-0.67752624,52.224823,Ye
-5.4474177,41.452618,save
-53.125484,-43.221493,Colonel
32.452965,45.481163,rose
-19.085945,-60.74114,gentleman
51.971912,55.379047,third
-54.756863,-3.2592037,seeing
-4.636173,39.516148,destroy
-17.614937,50.51665,Thy
-3.0039816,32.739227,thoughts
3.9067664,44.11457,righteousness
1.2713935,40.009083,ways
-43.363808,8.752606,used
-0.59904945,41.443867,sake
-40.784306,-38.51748,company
25.120615,68.17316,husband
-31.223171,36.548077,free
27.488762,45.344936,carried
9.183109,40.34233,anger
35.600063,45.728333,fight
-16.048246,-59.859364,Mary
22.64676,19.36132,sit
-11.897352,20.034771,run
-38.984646,2.686968,longer
-28.122015,-40.550243,appeared
10.054207,-53.710243,low
-57.321323,8.437832,seem
5.163136,-53.889084,forward
-41.93698,-42.212334,party
17.187319,-50.966454,fast
-45.822052,5.840813,hardly
-16.407148,-37.141045,sense
5.0830836,49.34985,hosts
36.382942,-6.028514,wild
-56.616497,-43.209515,Jane
-2.3845973,44.900936,shew
17.507603,10.899141,After
14.73345,39.242638,covenant
55.92415,-13.371547,green
-58.90221,-14.418931,possible
12.752367,14.508806,fair
28.442568,44.04922,followed
5.1030045,49.77321,GOD
-50.084953,2.2509952,use
43.774597,55.885086,captain
47.105774,19.39155,oil
-33.64719,-39.017204,already
17.70557,36.980667,gods
60.541508,-19.434795,darkness
41.64789,57.487057,died
-4.433857,-26.663296,Whale
43.769215,47.784866,Babylon
-42.30141,0.034763325,ill
-1.3761704,43.460724,judge
26.076769,51.694225,born
-48.038506,6.0364885,care
41.370735,-46.380627,close
-55.564915,-16.387342,idea
